RANK,PREVIOUS,SCHOOL,CONFERENCE,RECORD,ROAD,NEUTRAL,HOME,NON-DI
57,56,Belmont,OVC,24-Sep,09-Jul,03-Jan,11-Jan,1-0
58,58,Green Bay,Horizon,24-Jun,09-Feb,02-Jan,10-Mar,3-0
59,59,Iona,Metro Atlantic,22-Oct,09-Jul,02-Jan,11-Feb,0-0
60,60,Manhattan,Metro Atlantic,25-Jul,12-Apr,4- 0,09-Mar,0-0
61,61,St. Mary's (CA),West Coast,22-Nov,06-May,01-Mar,14-Mar,1-0
62,62,Louisiana Tech,Conference USA,27-Jul,09-Apr,05-Feb,12-Jan,1-0
63,63,California,Pac-12,19-13,05-Jun,01-Mar,13-Apr,0-0
64,64,Middle Tenn.,Conference USA,24-Sep,08-May,02-Feb,12-Feb,2-0
65,65,Delaware,Colonial,25-Sep,11-Jul,4- 0,10-Feb,0-0
66,66,Western Mich.,Mid-American,23-Sep,06-Jul,4- 0,12-Feb,1-0
67,69,San Francisco,West Coast,21-Nov,07-May,01-Jan,11-May,2-0
67,68,St. John's (NY),Big East,20-Dec,04-May,02-Feb,14-May,0-0
69,67,Georgetown,Big East,17-14,02-Aug,03-Mar,12-Mar,0-0
70,71,Illinois,Big Ten,19-14,05-Jun,04-Feb,10-Jun,0-0
71,73,New Mexico St.,Western Athletic,26-Sep,08-Jul,04-Jan,13-Jan,1-0
71,72,Indiana St.,Missouri Valley,23-Oct,08-Jun,03-Feb,10-Feb,2-0
73,74,Tulsa,Conference USA,21-Dec,06-Jul,04-Feb,11-Mar,0-0
74,75,Georgia,Southeastern,19-13,04-Jul,01-Apr,14-Feb,0-0
75,76,Richmond,Atlantic 10,19-14,05-Aug,02-Feb,12-Apr,0-0
76,70,Georgia St.,Sun Belt,25-Aug,10-Jun,02-Feb,11-0,2-0
77,77,Arkansas,Southeastern,21-Nov,03-Jun,01-Mar,17-Feb,0-0
78,78,Maryland,Atlantic Coast,17-15,02-Aug,03-Mar,11-Apr,1-0
79,79,Clemson,Atlantic Coast,20-Dec,04-Jul,03-Feb,13-Mar,0-0
80,80,Utah,Pac-12,21-Nov,02-Aug,01-Jan,16-Feb,2-0
81,83,Mercer,Atlantic Sun,26-Aug,09-Jul,0- 0,14-Jan,3-0
82,81,Boise St.,Mountain West,21-13,05-Jul,04-Feb,10-Apr,2-0
83,82,LSU,Southeastern,19-13,03-Aug,03-Feb,13-Mar,0-0
84,84,Boston U.,Patriot,24-Oct,11-Apr,02-Jan,11-May,0-0
85,86,Missouri St.,Missouri Valley,20-Dec,04-Aug,02-Feb,13-Feb,1-0
86,85,Eastern Mich.,Mid-American,21-14,04-Oct,02-Jan,12-Mar,3-0
87,87,Ohio,Mid-American,23-Nov,10-Apr,01-Jan,11-Jun,1-0
88,88,West Virginia,Big 12,17-15,03-Aug,03-Feb,11-May,0-0
89,89,St. Bonaventure,Atlantic 10,18-15,04-Sep,04-Feb,09-Apr,1-0
90,98,La.-Lafayette,Sun Belt,23-Nov,06-Sep,4- 0,10-Feb,3-0
91,90,Cleveland St.,Horizon,21-Nov,09-Jul,0- 1,10-Mar,2-0
92,91,Marquette,Big East,17-15,04-Aug,01-Mar,12-Apr,0-0
93,92,Akron,Mid-American,21-Dec,06-Jul,02-Mar,13-Feb,0-0
